filme;distribuidora;data_lancamento;orcamento;fim_semana_abertura;america_norte;outros_territorios;bilheteria;lucro;porcentagem_lucro;ranking
Deadpool;20th Century Fox;2016-02-12;58000000;132434600;363070709;420042270;783112979;725112979;1250.19;Excelente
Spider-Man: No Way Home;Sony Pictures;2021-12-17;200000000;260138569;780418859;1072000000;1852418859;1652418859;826.21;Excelente
Venom;Sony Pictures;2018-10-05;100000000;80255756;213515506;641498448;855013954;755013954;755.01;Excelente
Avengers: Endgame;Walt Disney Studios Motion Pictures;2019-04-26;356000000;357115007;858373000;1937901401;2797800564;2441800564;685.90;Excelente
Captain Marvel;Walt Disney Studios Motion Pictures;2019-03-08;152000000;153433423;426829839;701444955;1128274794;976274794;642.29;Excelente
Deadpool 2;20th Century Fox;2018-05-18;110000000;125507153;324591735;460455185;785046920;675046920;613.68;Excelente
Spider-Man: Far From Home;Sony Pictures;2019-07-02;160000000;92579212;390532085;741395911;1131927996;971927996;607.45;Excelente
The Avengers;Walt Disney Studios Motion Pictures;2012-05-04;220000000;207438708;623357910;895455078;1518812988;1298812988;590.37;Excelente
Black Panther;Walt Disney Studios Motion Pictures;2018-02-16;200000000;202003951;700059566;646853595;1346913161;1146913161;573.46;Excelente
Avengers: Infinity War;Walt Disney Studios Motion Pictures;2018-04-27;316000000;257698183;678815482;1369544272;2048359754;1732359754;548.22;Excelente
Logan;20th Century Fox;2017-03-03;97000000;88411916;226277068;390518532;616795600;519795600;535.87;Excelente
Iron Man 3;Walt Disney Studios Motion Pictures;2013-05-03;200000000;174144585;409013994;805797258;1214811252;1014811252;507.41;Excelente
Spider-Man;Sony Pictures;2002-05-03;139000000;114844116;403706375;418002176;821708551;682708551;491.16;Excelente
Avengers: Age of Ultron;Walt Disney Studios Motion Pictures;2015-05-01;250000000;191271109;459005868;946397826;1405403694;1155403694;462.16;Excelente
Spider-Man: Homecoming;Sony Pictures;2017-07-07;175000000;117027503;334201140;545965784;880166924;705166924;402.95;Excelente
Thor: Ragnarok;Walt Disney Studios Motion Pictures;2017-11-03;180000000;122744989;315058289;538918837;853977126;673977126;374.43;Excelente
Captain America: Civil War;Walt Disney Studios Motion Pictures;2016-05-06;250000000;179139142;408084349;745220146;1153304495;903304495;361.32;Excelente
Venom: Let There Be Carnage;Sony Pictures;2021-10-01;110000000;90033210;213550366;288500000;502050366;392050366;356.41;Excelente
Guardians of the Galaxy;Walt Disney Studios Motion Pictures;2014-08-01;170000000;94320883;333176600;440152029;773328629;603328629;354.90;Excelente
Guardians of the Galaxy Vol. 2;Walt Disney Studios Motion Pictures;2017-05-05;200000000;146510104;389813101;473942950;863756051;663756051;331.88;Excelente
Captain America: The Winter Soldier;Walt Disney Studios Motion Pictures;2014-04-04;170000000;95023721;259766572;454497695;714264267;544264267;320.16;Excelente
Iron Man;Paramount Pictures;2008-05-02;140000000;98618668;318412101;266762121;585174222;445174222;317.98;Excelente
Spider-Man: Into the Spider-Verse;Sony Pictures;2018-12-14;90000000;35363376;190241310;185299521;375540831;285540831;317.27;Excelente
Doctor Strange;Walt Disney Studios Motion Pictures;2016-11-04;165000000;85058311;232641920;445076475;677718395;512718395;310.74;Excelente
Ant-Man;Walt Disney Studios Motion Pictures;2015-07-17;130000000;57225526;180202163;339109802;519311965;389311965;299.47;Excelente
Big Hero 6;Walt Disney Studios Motion Pictures;2014-11-07;165000000;56215889;222527828;435300000;657827828;492827828;298.68;Excelente
X-Men;20th Century Fox;2000-07-14;75000000;54471475;157299717;139039810;296339527;221339527;295.12;Excelente
Spider-Man 2;Sony Pictures;2004-06-30;200000000;88156227;373585825;415390628;788976453;588976453;294.49;Excelente
Ant-Man and the Wasp;Walt Disney Studios Motion Pictures;2018-07-06;162000000;75812205;216648740;406025399;622674139;460674139;284.37;Excelente
Thor: The Dark World;Walt Disney Studios Motion Pictures;2013-11-08;170000000;85737841;206362140;438209262;644571402;474571402;279.16;Excelente
X-Men: Days of Future Past;20th Century Fox;2014-05-23;200000000;90823660;233921534;513941241;747862775;547862775;273.93;Excelente
X2;20th Century Fox;2003-05-02;110000000;85558731;214949694;192761855;407711549;297711549;270.65;Excelente
The Wolverine;20th Century Fox;2013-07-26;120000000;53113752;132550960;282271394;414828246;294828246;245.69;Excelente
Spider-Man 3;Sony Pictures;2007-05-04;258000000;151116516;336530303;554341323;890871626;632871626;245.30;Excelente
Fantastic Four;20th Century Fox;2005-07-08;100000000;56061504;154696080;175883639;330579719;230579719;230.58;Excelente
The Amazing Spider-Man;Sony Pictures;2012-07-03;230000000;62004688;262030663;495900000;757930663;527930663;229.54;Excelente
Iron Man 2;Paramount Pictures;2010-05-07;200000000;128122480;312433331;311500000;623933331;423933331;211.97;Excelente
X-Men: Apocalypse;20th Century Fox;2016-05-27;178000000;65769562;155442489;388491616;543934105;365934105;205.58;Excelente
Thor;Paramount Pictures;2011-05-06;150000000;65723338;181030624;268295994;449326618;299326618;199.55;Bom
Blade;New Line Cinema;1998-08-21;45000000;17073856;70087718;61095812;131183530;86183530;191.52;Bom
Shang-Chi and the Legend of the Ten Rings;Walt Disney Studios Motion Pictures;2021-09-03;150000000;75388688;224543292;207700000;432243292;282243292;188.16;Bom
Blade II;New Line Cinema;2002-03-22;54000000;32528016;82348319;72661713;155010032;101010032;187.06;Bom
The Amazing Spider-Man 2;Sony Pictures;2014-05-02;255000000;91608337;202853933;506128390;708982323;453982323;178.03;Bom
Captain America: The First Avenger;Paramount Pictures;2011-07-22;140000000;65058524;176654505;193915269;370569774;230569774;164.69;Bom
X-Men Origins: Wolverine;20th Century Fox;2009-05-01;150000000;85058003;179883157;193179707;373062864;223062864;148.71;Bom
Ghost Rider: Spirit of Vengeance;Sony Pictures;2012-02-17;57000000;22115334;51774002;80789928;132563930;75563930;132.57;Bom
Fantastic Four: Rise of the Silver Surfer;20th Century Fox;2007-06-15;130000000;58051684;131921738;169991393;301913131;171913131;132.24;Bom
Daredevil;20th Century Fox;2003-02-14;78000000;40310419;102543518;76636200;179179718;101179718;129.72;Bom
X-Men: First Class;20th Century Fox;2011-06-03;160000000;55101604;146408305;207215819;353624124;193624124;121.02;Bom
X-Men: The Last Stand;20th Century Fox;2006-05-26;210000000;102750665;234362462;224997093;459359555;249359555;118.74;Bom
Ghost Rider;Sony Pictures;2007-02-16;110000000;45388836;115802596;112935797;228738393;118738393;107.94;Bom
Eternals;Walt Disney Studios Motion Pictures;2021-11-05;200000000;85021497;164870234;237194665;402064899;202064899;101.03;Bom
Blade: Trinity;New Line Cinema;2004-12-08;65000000;16061271;52411906;76493460;128905366;63905366;98.32;Regular
Black Widow;Walt Disney Studios Motion Pictures;2021-07-09;200000000;80366312;183651665;195979696;379631351;179631351;89.82;Regular
Hulk;Universal Pictures;2003-06-20;137000000;62128420;132177234;113183246;245360480;108360480;79.10;Regular
The Incredible Hulk;Universal Pictures;2008-06-13;150000000;55414050;134806913;128620638;263427551;113427551;75.62;Regular
The Punisher;Lionsgate Films;2004-04-16;33000000;13834527;33810189;20889916;54700105;21700105;65.76;Regular
Fantastic Four;20th Century Fox;2015-08-07;120000000;25685737;56117548;111765333;167882881;47882881;39.90;Ruim
Elektra;20th Century Fox;2005-01-14;43000000;12804793;24409722;32271844;56681566;13681566;31.82;Ruim
Dark Phoenix;20th Century Fox;2019-06-07;200000000;32828348;65845974;186597000;252442974;52442974;26.22;Ruim
Howard the Duck;Universal Pictures;1986-08-01;37000000;5070136;16295774;21667000;37962774;962774;2.60;Ruim
The New Mutants;20th Century Studios;2020-08-28;67000000;7037017;23855569;24819497;48675066;-18324934;-27.35;Péssimo
Punisher: War Zone;Lionsgate Films;2008-12-05;35000000;4271451;8050977;2049059;10100036;-24899964;-71.14;Péssimo
Inhumans;IMAX Entertainment;2017-09-01;100000000;1500000;1521787;1330495;2852282;-97147718;-97.15;Péssimo
